# Time X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4
2.29000020 -0.13353825 0.17137346 0.00000000 0.18750130 0.10974810 0.00000000 0.08403716 -0.20034742 0.00000000 -0.20968743 -0.05685551 0.00000000 -0.02867859 0.21535777 0.00000000
2.30000019 -0.11499311 0.18262728 0.00000000 0.19437185 0.09378565 0.00000000 0.07139476 -0.20366383 0.00000000 -0.21038613 -0.04810300 0.00000000 -0.02420408 0.21445370 0.00000000
2.31000018 -0.09554721 0.19191141 0.00000000 0.19990790 0.07743455 0.00000000 0.05866141 -0.20619917 0.00000000 -0.21073186 -0.03938786 0.00000000 -0.01977816 0.21346702 0.00000000
2.32000017 -0.07540632 0.19915925 0.00000000 0.20409155 0.06080462 0.00000000 0.04588438 -0.20795475 0.00000000 -0.21072872 -0.03072382 0.00000000 -0.01540212 0.21239904 0.00000000
2.33000016 -0.05478044 0.20432568 0.00000000 0.20691395 0.04400589 0.00000000 0.03311057 -0.20893432 0.00000000 -0.21038154 -0.02212435 0.00000000 -0.01107726 0.21125163 0.00000000
2.34000015 -0.03388159 0.20738658 0.00000000 0.20837502 0.02714808 0.00000000 0.02038608 -0.20914494 0.00000000 -0.20969537 -0.01360265 0.00000000 -0.00680477 0.21002594 0.00000000
2.35000014 -0.01292178 0.20833951 0.00000000 0.20848367 0.01033985 0.00000000 0.00775635 -0.20859574 0.00000000 -0.20867585 -0.00517159 0.00000000 -0.00258587 0.20872401 0.00000000
2.36000013 0.00788925 0.20720275 0.00000000 0.20725681 -0.00631191 0.00000000 -0.00473418 -0.20729879 0.00000000 -0.20732883 0.00315624 0.00000000 0.00157829 0.20734695 0.00000000
2.37000012 0.02834599 0.20401527 0.00000000 0.20472014 -0.02270273 0.00000000 -0.01704214 -0.20526887 0.00000000 -0.20566121 0.01136861 0.00000000 0.00568660 0.20589681 0.00000000
2.38000011 0.04824919 0.19883618 0.00000000 0.20090725 -0.03873120 0.00000000 -0.02912540 -0.20252289 0.00000000 -0.20367959 0.01945365 0.00000000 0.00973799 0.20437479 0.00000000
2.39000010 0.06740774 0.19174337 0.00000000 0.19585943 -0.05429957 0.00000000 -0.04094321 -0.19908045 0.00000000 -0.20139170 0.02739982 0.00000000 0.01373142 0.20278275 0.00000000
2.40000010 0.08564054 0.18283297 0.00000000 0.18962528 -0.06931430 0.00000000 -0.05245631 -0.19496296 0.00000000 -0.19880511 0.03519601 0.00000000 0.01766589 0.20112230 0.00000000
2.41000009 0.10277804 0.17221783 0.00000000 0.18226050 -0.08368670 0.00000000 -0.06362709 -0.19019447 0.00000000 -0.19592808 0.04283144 0.00000000 0.02154045 0.19939509 0.00000000
2.42000008 0.11866394 0.16002637 0.00000000 0.17382704 -0.09733324 0.00000000 -0.07441962 -0.18480074 0.00000000 -0.19276908 0.05029578 0.00000000 0.02535419 0.19760266 0.00000000
2.43000007 0.13315640 0.14640097 0.00000000 0.16439308 -0.11017633 0.00000000 -0.08479986 -0.17880966 0.00000000 -0.18933721 0.05757910 0.00000000 0.02910621 0.19574676 0.00000000
2.44000006 0.14612946 0.13149659 0.00000000 0.15403229 -0.12214439 0.00000000 -0.09473577 -0.17225078 0.00000000 -0.18564138 0.06467193 0.00000000 0.03279570 0.19382901 0.00000000
2.45000005 0.15747385 0.11547859 0.00000000 0.14282322 -0.13317236 0.00000000 -0.10419718 -0.16515541 0.00000000 -0.18169147 0.07156517 0.00000000 0.03642184 0.19185109 0.00000000
2.46000004 0.16709805 0.09852153 0.00000000 0.13084877 -0.14320229 0.00000000 -0.11315610 -0.15755622 0.00000000 -0.17749695 0.07825021 0.00000000 0.03998387 0.18981460 0.00000000
2.47000003 0.17492881 0.08080689 0.00000000 0.11819572 -0.15218306 0.00000000 -0.12158696 -0.14948750 0.00000000 -0.17306820 0.08471895 0.00000000 0.04348108 0.18772136 0.00000000
2.48000002 0.18091202 0.06252123 0.00000000 0.10495400 -0.16007122 0.00000000 -0.12946604 -0.14098459 0.00000000 -0.16841546 0.09096360 0.00000000 0.04691277 0.18557301 0.00000000
2.49000001 0.18501237 0.04385448 0.00000000 0.09121610 -0.16683069 0.00000000 -0.13677217 -0.13208412 0.00000000 -0.16354911 0.09697700 0.00000000 0.05027830 0.18337108 0.00000000
2.50000000 0.18721402 0.02499775 0.00000000 0.07707661 -0.17243333 0.00000000 -0.14348654 -0.12282348 0.00000000 -0.15848018 0.10275237 0.00000000 0.05357705 0.18111749 0.00000000
2.51000023 0.18752004 0.00614156 0.00000000 0.06263117 -0.17685838 0.00000000 -0.14959280 -0.11324096 0.00000000 -0.15321955 0.10828333 0.00000000 0.05680846 0.17881368 0.00000000
2.52000022 0.18595259 -0.01252610 0.00000000 0.04797638 -0.18009324 0.00000000 -0.15507665 -0.10337552 0.00000000 -0.14777832 0.11356426 0.00000000 0.05997195 0.17646153 0.00000000
2.53000021 0.18255191 -0.03082164 0.00000000 0.03320871 -0.18213302 0.00000000 -0.15992671 -0.09326664 0.00000000 -0.14216778 0.11858974 0.00000000 0.06306709 0.17406256 0.00000000
